Name:,Dotabuff:,MMR:,Buck's Bucks,Crub Cents,Remaining:
Jimmy Pesto,https://www.dotabuff.com/players/110119494,2000,594,614,614
キZend,https://www.dotabuff.com/players/77959947,4154,491,531,531
juicy,https://www.dotabuff.com/players/162015739,4684,465,497,497
Mooshack,https://www.dotabuff.com/players/41807270,4684,465,497,497
Clare ❤ Teresa,https://www.dotabuff.com/players/102264839,4712,464,495,495
KatzeHund,https://www.dotabuff.com/players/166324601,4850,457,485,485
Simple,https://www.dotabuff.com/players/351936929,4999,450,474,474
smacktrickz,https://www.dotabuff.com/players/157808123,5240,438,455,455
yolksoup,https://www.dotabuff.com/players/112220059,5241,438,455,455
Tokc,https://www.dotabuff.com/players/96895570,5694,417,416,416
2centz,https://www.dotabuff.com/players/971475960,5895,407,397,397
slowz-,https://www.dotabuff.com/players/170288961,6332,386,354,354
redground,https://www.dotabuff.com/players/362793631,6575,374,329,329
MGHappyhobo,https://www.dotabuff.com/players/260316741,6648,371,321,321